frame_index,mae,psnr,ssim
4.200000000000000000e+01,2.000000000000000000e+00,5.116619444843613707e+01,9.959004896980303556e-01
4.300000000000000000e+01,1.000000000000000000e+00,5.113536679993963219e+01,9.958635920571271560e-01
4.400000000000000000e+01,1.000000000000000000e+00,5.117628880696776150e+01,9.958629218005394801e-01
4.500000000000000000e+01,1.000000000000000000e+00,5.115174089449342887e+01,9.958561532770039415e-01
4.600000000000000000e+01,1.000000000000000000e+00,5.114427488071464722e+01,9.958487975222849453e-01
4.700000000000000000e+01,2.000000000000000000e+00,5.112716014232710648e+01,9.958577925098099914e-01
4.800000000000000000e+01,3.000000000000000000e+00,5.115199857230723524e+01,9.958904493762986698e-01
4.900000000000000000e+01,2.000000000000000000e+00,5.116292098000538147e+01,9.959466544572234126e-01
5.000000000000000000e+01,1.000000000000000000e+00,5.112195354138784609e+01,9.959399888689177693e-01
5.100000000000000000e+01,1.000000000000000000e+00,5.116903920045139387e+01,9.960386085948702561e-01
5.200000000000000000e+01,1.000000000000000000e+00,5.114633318908582282e+01,9.960582840161055218e-01
5.300000000000000000e+01,2.000000000000000000e+00,5.116042446567452373e+01,9.961638020243031022e-01
5.400000000000000000e+01,2.000000000000000000e+00,5.116464355055748570e+01,9.962386166784654717e-01
5.500000000000000000e+01,2.000000000000000000e+00,5.118926470943517870e+01,9.962905817532705655e-01
5.600000000000000000e+01,1.000000000000000000e+00,5.114453211591857240e+01,9.962690026404048549e-01
5.700000000000000000e+01,1.000000000000000000e+00,5.112886858428342407e+01,9.962166580022180362e-01
5.800000000000000000e+01,2.000000000000000000e+00,5.116119909241679409e+01,9.962205147177404241e-01
5.900000000000000000e+01,2.000000000000000000e+00,5.115380274521376691e+01,9.961900028897354709e-01
6.000000000000000000e+01,1.000000000000000000e+00,5.117335298444767488e+01,9.962022427882319953e-01
6.100000000000000000e+01,1.000000000000000000e+00,5.115199857230723524e+01,9.961446087456169440e-01
6.200000000000000000e+01,1.000000000000000000e+00,5.114882161394525184e+01,9.961299779512554631e-01
6.300000000000000000e+01,1.000000000000000000e+00,5.115982207371586554e+01,9.960896611281604418e-01
6.400000000000000000e+01,1.000000000000000000e+00,5.113040675687717851e+01,9.960235456164687751e-01
6.500000000000000000e+01,1.000000000000000000e+00,5.115449024637381825e+01,9.960132220810533621e-01
6.600000000000000000e+01,1.000000000000000000e+00,5.114453211591857240e+01,9.959882428177141422e-01
6.700000000000000000e+01,1.000000000000000000e+00,5.114641897310841046e+01,9.959507158176373887e-01
6.800000000000000000e+01,1.000000000000000000e+00,5.112955214929067438e+01,9.959529110968081689e-01
6.900000000000000000e+01,1.000000000000000000e+00,5.113143250801521589e+01,9.958901128705519579e-01
7.000000000000000000e+01,2.000000000000000000e+00,5.115801539900949280e+01,9.958522540535884593e-01
