frame_index,mae,psnr,ssim
0.000000000000000000e+00,5.300000000000000000e+01,2.655082488788070094e+01,7.640174830976835807e-01
1.000000000000000000e+00,9.000000000000000000e+00,2.717040115638510400e+01,7.665674567000948514e-01
2.000000000000000000e+00,9.000000000000000000e+00,2.731375120971077308e+01,7.662559828488428870e-01
3.000000000000000000e+00,9.000000000000000000e+00,2.738495303264669900e+01,7.639407215600136913e-01
4.000000000000000000e+00,9.000000000000000000e+00,2.741741817147315885e+01,7.660415866985276212e-01
5.000000000000000000e+00,9.000000000000000000e+00,2.750586179635633144e+01,7.710702906128691358e-01
6.000000000000000000e+00,9.000000000000000000e+00,2.757032515114535087e+01,7.720560693846898470e-01
7.000000000000000000e+00,9.000000000000000000e+00,2.759182286917744165e+01,7.793942165808699363e-01
8.000000000000000000e+00,8.000000000000000000e+00,2.771294193635304381e+01,7.858258787868642736e-01
9.000000000000000000e+00,8.000000000000000000e+00,2.773691555178991308e+01,7.903760532711465725e-01
1.000000000000000000e+01,8.000000000000000000e+00,2.779485081043139161e+01,7.963152159730687574e-01
1.100000000000000000e+01,8.000000000000000000e+00,2.778614267617382083e+01,7.947335208755517133e-01
1.200000000000000000e+01,9.000000000000000000e+00,2.752394329605766643e+01,7.781899636279165922e-01
1.300000000000000000e+01,1.000000000000000000e+01,2.718417917908880099e+01,7.576500166446066276e-01
1.400000000000000000e+01,1.000000000000000000e+01,2.720665960359446700e+01,7.502619217055206402e-01
1.500000000000000000e+01,9.000000000000000000e+00,2.723524378748975039e+01,7.545486174779065802e-01
1.600000000000000000e+01,9.000000000000000000e+00,2.734688050725626951e+01,7.620204038320962381e-01
1.700000000000000000e+01,8.000000000000000000e+00,2.753029438618824187e+01,7.734026332567671691e-01
1.800000000000000000e+01,8.000000000000000000e+00,2.766632842736225939e+01,7.802687105723645766e-01
1.900000000000000000e+01,8.000000000000000000e+00,2.777463391178722318e+01,7.834470105525651595e-01
2.000000000000000000e+01,8.000000000000000000e+00,2.786805252644107611e+01,7.884241433299464807e-01
2.100000000000000000e+01,8.000000000000000000e+00,2.793312121610174614e+01,7.939236862896358327e-01
2.200000000000000000e+01,8.000000000000000000e+00,2.768151572864453769e+01,7.865610243109159017e-01
2.300000000000000000e+01,9.000000000000000000e+00,2.715214492674573421e+01,7.674448760511889400e-01
2.400000000000000000e+01,9.000000000000000000e+00,2.700520667609602299e+01,7.604652881078297622e-01
2.500000000000000000e+01,9.000000000000000000e+00,2.717966894245757459e+01,7.642055500996614015e-01
2.600000000000000000e+01,8.000000000000000000e+00,2.754722249064909079e+01,7.756209863629310863e-01
2.700000000000000000e+01,8.000000000000000000e+00,2.773434380907623620e+01,7.807009295298449336e-01
2.800000000000000000e+01,8.000000000000000000e+00,2.783086602233201035e+01,7.841643793639085924e-01
2.900000000000000000e+01,8.000000000000000000e+00,2.785056537116899378e+01,7.858952870923334721e-01
3.000000000000000000e+01,8.000000000000000000e+00,2.779388224510424976e+01,7.842981871957335205e-01
3.100000000000000000e+01,8.000000000000000000e+00,2.767340914877546609e+01,7.794624970790287044e-01
3.200000000000000000e+01,8.000000000000000000e+00,2.756778882266528541e+01,7.772298555090882966e-01
3.300000000000000000e+01,8.000000000000000000e+00,2.760630337546878366e+01,7.782845707563054161e-01
3.400000000000000000e+01,8.000000000000000000e+00,2.755723670237040324e+01,7.790130146300048297e-01
3.500000000000000000e+01,8.000000000000000000e+00,2.753057271039592635e+01,7.792571901596332395e-01
3.600000000000000000e+01,8.000000000000000000e+00,2.754889885301851749e+01,7.807575584308013017e-01
3.700000000000000000e+01,8.000000000000000000e+00,2.764837851049210116e+01,7.842037842056993613e-01
3.800000000000000000e+01,8.000000000000000000e+00,2.767556119458080133e+01,7.877630315676804607e-01
3.900000000000000000e+01,8.000000000000000000e+00,2.775007970843166660e+01,7.907413706371685391e-01
4.000000000000000000e+01,8.000000000000000000e+00,2.774849138897680589e+01,7.898384107770471951e-01
4.100000000000000000e+01,8.000000000000000000e+00,2.767339565364511955e+01,7.858482761219142132e-01
4.200000000000000000e+01,8.000000000000000000e+00,2.759392160400313543e+01,7.842854837233872445e-01
4.300000000000000000e+01,8.000000000000000000e+00,2.777438764578136698e+01,7.895333310279016859e-01
4.400000000000000000e+01,8.000000000000000000e+00,2.776820124426631509e+01,7.916091858167133566e-01
4.500000000000000000e+01,8.000000000000000000e+00,2.781871995404465991e+01,7.933504280338951054e-01
4.600000000000000000e+01,8.000000000000000000e+00,2.780555786631727244e+01,7.949359747105642082e-01
4.700000000000000000e+01,9.000000000000000000e+00,2.759719833882792628e+01,7.848039134076136847e-01
4.800000000000000000e+01,9.000000000000000000e+00,2.735425325549688580e+01,7.709398205400810333e-01
4.900000000000000000e+01,9.000000000000000000e+00,2.746273754001655831e+01,7.757907149737166552e-01
5.000000000000000000e+01,8.000000000000000000e+00,2.769770308104299517e+01,7.888737177054957472e-01
5.100000000000000000e+01,8.000000000000000000e+00,2.784461689965658238e+01,7.965866827983926202e-01
5.200000000000000000e+01,8.000000000000000000e+00,2.779717696301673513e+01,7.917320680440074199e-01
5.300000000000000000e+01,9.000000000000000000e+00,2.756857538527011187e+01,7.746720754980064294e-01
5.400000000000000000e+01,9.000000000000000000e+00,2.756451351237160097e+01,7.740740953606070063e-01
5.500000000000000000e+01,8.000000000000000000e+00,2.765858326256869759e+01,7.784403362034129081e-01
5.600000000000000000e+01,8.000000000000000000e+00,2.781184113797095847e+01,7.850704009083860901e-01
5.700000000000000000e+01,8.000000000000000000e+00,2.768129438659507358e+01,7.800346027584121877e-01
5.800000000000000000e+01,8.000000000000000000e+00,2.757348502316092720e+01,7.708106098644472715e-01
5.900000000000000000e+01,8.000000000000000000e+00,2.753781877113246424e+01,7.708283159419077046e-01
6.000000000000000000e+01,8.000000000000000000e+00,2.753022797902634977e+01,7.737809537272366534e-01
6.100000000000000000e+01,8.000000000000000000e+00,2.767784051746431473e+01,7.799366777724441313e-01
6.200000000000000000e+01,8.000000000000000000e+00,2.780044083247511111e+01,7.824525364508755354e-01
6.300000000000000000e+01,8.000000000000000000e+00,2.788751293797072606e+01,7.853805583574055005e-01
6.400000000000000000e+01,8.000000000000000000e+00,2.788283457743855465e+01,7.828449036423557050e-01
6.500000000000000000e+01,8.000000000000000000e+00,2.785156795349749004e+01,7.829447980487257430e-01
6.600000000000000000e+01,8.000000000000000000e+00,2.777763916606516759e+01,7.806937323656955030e-01
6.700000000000000000e+01,8.000000000000000000e+00,2.774276249419254725e+01,7.812203713907945879e-01
6.800000000000000000e+01,8.000000000000000000e+00,2.782888380898865677e+01,7.848006350533309750e-01
6.900000000000000000e+01,8.000000000000000000e+00,2.782096119818724134e+01,7.844287379105283620e-01
7.000000000000000000e+01,9.000000000000000000e+00,2.769133758982260574e+01,7.746479737673507282e-01
7.100000000000000000e+01,9.000000000000000000e+00,2.752936030235117570e+01,7.663513947245800262e-01
7.200000000000000000e+01,9.000000000000000000e+00,2.752550336607694703e+01,7.659123434517624007e-01
7.300000000000000000e+01,8.000000000000000000e+00,2.766562749430817902e+01,7.747828301007427809e-01
7.400000000000000000e+01,8.000000000000000000e+00,2.784663158825222951e+01,7.874667148291737417e-01
7.500000000000000000e+01,8.000000000000000000e+00,2.788179926656272301e+01,7.946550417883936346e-01
7.600000000000000000e+01,9.000000000000000000e+00,2.764015518102043245e+01,7.805012613418255141e-01
7.700000000000000000e+01,9.000000000000000000e+00,2.740110601434828652e+01,7.640064709321480185e-01
7.800000000000000000e+01,1.000000000000000000e+01,2.718696327070411556e+01,7.522144304373754586e-01
7.900000000000000000e+01,1.000000000000000000e+01,2.712471711199072288e+01,7.445743041005175034e-01
8.000000000000000000e+01,9.000000000000000000e+00,2.717732494639778196e+01,7.498727337383926939e-01
8.100000000000000000e+01,9.000000000000000000e+00,2.734656793339782155e+01,7.550630732072681761e-01
8.200000000000000000e+01,9.000000000000000000e+00,2.735880836756850343e+01,7.532078577483063420e-01
8.300000000000000000e+01,9.000000000000000000e+00,2.738182964552159859e+01,7.493192158000487879e-01
8.400000000000000000e+01,9.000000000000000000e+00,2.736149427943376367e+01,7.454122973156531717e-01
8.500000000000000000e+01,9.000000000000000000e+00,2.741554216292583135e+01,7.469098130020190851e-01
