frame_index,mae,psnr,ssim
0.000000000000000000e+00,5.300000000000000000e+01,4.462783079362148442e+01,9.864892330735035575e-01
1.000000000000000000e+00,3.000000000000000000e+00,4.484230134871729945e+01,9.852412353320100236e-01
2.000000000000000000e+00,4.000000000000000000e+00,4.471176353284807448e+01,9.846856486027908417e-01
3.000000000000000000e+00,3.000000000000000000e+00,4.462198315009531058e+01,9.841992255797707978e-01
4.000000000000000000e+00,3.000000000000000000e+00,4.447046730859318586e+01,9.835900849743282048e-01
5.000000000000000000e+00,3.000000000000000000e+00,4.432282964300561190e+01,9.830939789898726078e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.429493275077832948e+01,9.827842560751884893e-01
7.000000000000000000e+00,3.000000000000000000e+00,4.415994563924228089e+01,9.822051772043334239e-01
8.000000000000000000e+00,2.000000000000000000e+00,4.414036485030169388e+01,9.819511981572845993e-01
9.000000000000000000e+00,2.000000000000000000e+00,4.402751223432727556e+01,9.814134264809880603e-01
1.000000000000000000e+01,2.000000000000000000e+00,4.400513695970669659e+01,9.813956908773577847e-01
1.100000000000000000e+01,2.000000000000000000e+00,4.394550410096532289e+01,9.813119668290155584e-01
1.200000000000000000e+01,3.000000000000000000e+00,4.382108997657014982e+01,9.810200124238550590e-01
1.300000000000000000e+01,5.000000000000000000e+00,4.373809984192322986e+01,9.808538407298339479e-01
1.400000000000000000e+01,5.000000000000000000e+00,4.374597508312298544e+01,9.807292668133671398e-01
1.500000000000000000e+01,4.000000000000000000e+00,4.371350582784891969e+01,9.806602970368809569e-01
1.600000000000000000e+01,3.000000000000000000e+00,4.364326111626808569e+01,9.802446408159005697e-01
1.700000000000000000e+01,3.000000000000000000e+00,4.364747046050143808e+01,9.801199362660589776e-01
1.800000000000000000e+01,2.000000000000000000e+00,4.362670738667019066e+01,9.799708673151292793e-01
1.900000000000000000e+01,2.000000000000000000e+00,4.365194354498311213e+01,9.798531468089828333e-01
2.000000000000000000e+01,2.000000000000000000e+00,4.363374413986608857e+01,9.797342584784205499e-01
2.100000000000000000e+01,1.000000000000000000e+00,4.376051547370867922e+01,9.802575432714425441e-01
2.200000000000000000e+01,2.000000000000000000e+00,4.358403285570442875e+01,9.793672097544986466e-01
2.300000000000000000e+01,3.000000000000000000e+00,4.352505257070498601e+01,9.790807602122234554e-01
2.400000000000000000e+01,3.000000000000000000e+00,4.349779821241513389e+01,9.788205252518452637e-01
