frame_index,mae,psnr,ssim
0.000000000000000000e+00,5.300000000000000000e+01,5.112110059544975371e+01,9.959624480882582898e-01
1.000000000000000000e+00,2.000000000000000000e+00,5.112622078564319850e+01,9.958197721886918874e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.112502553455018983e+01,9.957478314762864269e-01
3.000000000000000000e+00,2.000000000000000000e+00,5.112921035333819475e+01,9.957731037425086029e-01
4.000000000000000000e+00,2.000000000000000000e+00,5.114050384714562369e+01,9.957810814883560901e-01
5.000000000000000000e+00,2.000000000000000000e+00,5.115853151509539032e+01,9.958313954326124540e-01
6.000000000000000000e+00,1.000000000000000000e+00,5.112442803233847144e+01,9.958679078361371007e-01
7.000000000000000000e+00,2.000000000000000000e+00,5.112664774076687024e+01,9.958592698996556747e-01
8.000000000000000000e+00,1.000000000000000000e+00,5.116610827291165720e+01,9.959060090510949426e-01
9.000000000000000000e+00,1.000000000000000000e+00,5.114496087511955125e+01,9.959061774838576797e-01
1.000000000000000000e+01,2.000000000000000000e+00,5.113528123394542035e+01,9.959270314803431168e-01
1.100000000000000000e+01,1.000000000000000000e+00,5.114478936635958917e+01,9.959779780210737954e-01
1.200000000000000000e+01,2.000000000000000000e+00,5.114436062408972816e+01,9.960067561803371827e-01
1.300000000000000000e+01,3.000000000000000000e+00,5.115724133986610411e+01,9.960905852330582677e-01
1.400000000000000000e+01,3.000000000000000000e+00,5.115560766793241498e+01,9.960948689042654625e-01
1.500000000000000000e+01,2.000000000000000000e+00,5.115010928994692563e+01,9.960905553188211803e-01
1.600000000000000000e+01,2.000000000000000000e+00,5.115947788725038947e+01,9.960935730782568553e-01
1.700000000000000000e+01,2.000000000000000000e+00,5.116964287232625708e+01,9.961267024992033203e-01
1.800000000000000000e+01,2.000000000000000000e+00,5.115062446726889078e+01,9.961150787352039959e-01
1.900000000000000000e+01,2.000000000000000000e+00,5.115629545489915841e+01,9.960994946421970475e-01
2.000000000000000000e+01,2.000000000000000000e+00,5.114333181529961081e+01,9.960704078738176204e-01
2.100000000000000000e+01,1.000000000000000000e+00,5.119177786238026329e+01,9.961148175768880231e-01
2.200000000000000000e+01,2.000000000000000000e+00,5.113588023131070770e+01,9.960202193918061830e-01
2.300000000000000000e+01,2.000000000000000000e+00,5.114247466077435433e+01,9.960621240401276166e-01
2.400000000000000000e+01,2.000000000000000000e+00,5.114847829814910085e+01,9.960653673705102129e-01
2.500000000000000000e+01,2.000000000000000000e+00,5.114367472448407881e+01,9.961064518608920837e-01
2.600000000000000000e+01,2.000000000000000000e+00,5.113870518935695486e+01,9.961273292532057955e-01
2.700000000000000000e+01,1.000000000000000000e+00,5.118303143761919927e+01,9.961647067855275983e-01
2.800000000000000000e+01,1.000000000000000000e+00,5.117542512372192931e+01,9.961491260522858937e-01
2.900000000000000000e+01,1.000000000000000000e+00,5.116429898178397195e+01,9.961164698621716163e-01
3.000000000000000000e+01,1.000000000000000000e+00,5.116524661170114285e+01,9.961294443017034705e-01
3.100000000000000000e+01,2.000000000000000000e+00,5.114650475882547909e+01,9.960607001686293538e-01
3.200000000000000000e+01,2.000000000000000000e+00,5.113716407535867603e+01,9.960389897015063942e-01
3.300000000000000000e+01,1.000000000000000000e+00,5.118156099751067956e+01,9.960459044997366229e-01
3.400000000000000000e+01,1.000000000000000000e+00,5.114410339904287639e+01,9.960208957491734072e-01
3.500000000000000000e+01,2.000000000000000000e+00,5.114461786437247781e+01,9.960051693501322800e-01
3.600000000000000000e+01,2.000000000000000000e+00,5.116309320631829394e+01,9.959848655786817107e-01
3.700000000000000000e+01,1.000000000000000000e+00,5.113228748573651217e+01,9.959297926524844913e-01
3.800000000000000000e+01,2.000000000000000000e+00,5.114693371283037493e+01,9.958970430985093492e-01
3.900000000000000000e+01,2.000000000000000000e+00,5.114196044925102314e+01,9.958901349748350285e-01
4.000000000000000000e+01,1.000000000000000000e+00,5.112272133598536783e+01,9.958402957711184333e-01
4.100000000000000000e+01,1.000000000000000000e+00,5.113545236761972745e+01,9.958522341601252492e-01
4.200000000000000000e+01,2.000000000000000000e+00,5.116567742093668159e+01,9.958950568331146336e-01
4.300000000000000000e+01,1.000000000000000000e+00,5.113485342926024657e+01,9.958403876989142534e-01
4.400000000000000000e+01,1.000000000000000000e+00,5.117577057640921367e+01,9.958477546322086482e-01
4.500000000000000000e+01,1.000000000000000000e+00,5.115105382839183790e+01,9.958298547786208488e-01
4.600000000000000000e+01,1.000000000000000000e+00,5.114333181529961081e+01,9.958355085819097230e-01
4.700000000000000000e+01,2.000000000000000000e+00,5.112664774076687024e+01,9.958453087722179964e-01
4.800000000000000000e+01,2.000000000000000000e+00,5.115113970571047730e+01,9.958701103337461724e-01
4.900000000000000000e+01,2.000000000000000000e+00,5.116223214304465472e+01,9.959296011677565286e-01
5.000000000000000000e+01,1.000000000000000000e+00,5.112152704747919074e+01,9.959286912253311197e-01
5.100000000000000000e+01,1.000000000000000000e+00,5.116834939246946590e+01,9.960224655402372118e-01
5.200000000000000000e+01,1.000000000000000000e+00,5.114564697789852232e+01,9.960554157918455331e-01
5.300000000000000000e+01,1.000000000000000000e+00,5.115973602454219815e+01,9.961540892911243672e-01
5.400000000000000000e+01,2.000000000000000000e+00,5.116386830925766560e+01,9.962254715904758084e-01
5.500000000000000000e+01,2.000000000000000000e+00,5.118857168171639671e+01,9.962851217830548389e-01
5.600000000000000000e+01,1.000000000000000000e+00,5.114350326650743028e+01,9.962622522366093580e-01
5.700000000000000000e+01,2.000000000000000000e+00,5.112852684212212750e+01,9.962139770736175848e-01
5.800000000000000000e+01,2.000000000000000000e+00,5.116102694120009176e+01,9.962218622569590787e-01
5.900000000000000000e+01,1.000000000000000000e+00,5.115345903544198336e+01,9.961819089658786597e-01
6.000000000000000000e+01,2.000000000000000000e+00,5.117292141318011289e+01,9.961906292197038049e-01
6.100000000000000000e+01,2.000000000000000000e+00,5.115182678539930095e+01,9.961454270807156286e-01
6.200000000000000000e+01,2.000000000000000000e+00,5.114822082911117462e+01,9.961297231393633211e-01
6.300000000000000000e+01,2.000000000000000000e+00,5.115896165869194334e+01,9.960858425468669397e-01
6.400000000000000000e+01,1.000000000000000000e+00,5.112980851390921799e+01,9.960228631910965635e-01
6.500000000000000000e+01,1.000000000000000000e+00,5.115328719075627362e+01,9.960142774375986274e-01
6.600000000000000000e+01,1.000000000000000000e+00,5.114367472448407881e+01,9.959837705132886798e-01
6.700000000000000000e+01,2.000000000000000000e+00,5.114521815095973523e+01,9.959576872163633521e-01
6.800000000000000000e+01,2.000000000000000000e+00,5.112861227514142115e+01,9.959513461600388862e-01
6.900000000000000000e+01,1.000000000000000000e+00,5.113023582190572824e+01,9.958793558273847379e-01
7.000000000000000000e+01,2.000000000000000000e+00,5.115681136661501682e+01,9.958416766677660181e-01
7.100000000000000000e+01,2.000000000000000000e+00,5.115491998987242539e+01,9.957560076733438237e-01
7.200000000000000000e+01,2.000000000000000000e+00,5.114599006993898911e+01,9.956824678317952593e-01
7.300000000000000000e+01,2.000000000000000000e+00,5.115105382839183790e+01,9.956619852211838761e-01
7.400000000000000000e+01,2.000000000000000000e+00,5.115423242068470699e+01,9.956541889489726183e-01
7.500000000000000000e+01,1.000000000000000000e+00,5.114307465117828855e+01,9.956554535714768894e-01
7.600000000000000000e+01,2.000000000000000000e+00,5.114084653310393946e+01,9.957159899441885287e-01
7.700000000000000000e+01,2.000000000000000000e+00,5.116826317417501713e+01,9.958403190819757889e-01
7.800000000000000000e+01,3.000000000000000000e+00,5.113921901557398542e+01,9.958745150706779237e-01
7.900000000000000000e+01,3.000000000000000000e+00,5.113553793698577010e+01,9.959484893013957896e-01
8.000000000000000000e+01,2.000000000000000000e+00,5.114959417373009387e+01,9.960403264611322749e-01
8.100000000000000000e+01,2.000000000000000000e+00,5.114273178936911535e+01,9.961221185918217591e-01
8.200000000000000000e+01,2.000000000000000000e+00,5.117456161220299293e+01,9.962072907113661557e-01
8.300000000000000000e+01,2.000000000000000000e+00,5.117266249100360653e+01,9.962281838555075986e-01
8.400000000000000000e+01,2.000000000000000000e+00,5.116180167541958212e+01,9.962599275443698721e-01
8.500000000000000000e+01,2.000000000000000000e+00,5.116895296846156782e+01,9.963341726117531660e-01
8.600000000000000000e+01,2.000000000000000000e+00,5.115878959614089894e+01,9.963351849005813721e-01
8.700000000000000000e+01,1.000000000000000000e+00,5.116929790669446731e+01,9.963370540283200683e-01
8.800000000000000000e+01,2.000000000000000000e+00,5.116490199507940417e+01,9.962628976816593207e-01
8.900000000000000000e+01,3.000000000000000000e+00,5.117343930384780748e+01,9.962068103238521655e-01
