frame_index,mae,psnr,ssim
0.000000000000000000e+00,5.300000000000000000e+01,4.585128868800637747e+01,9.880495983766555135e-01
1.000000000000000000e+00,2.000000000000000000e+00,4.587387932469722784e+01,9.878956011820716476e-01
2.000000000000000000e+00,3.000000000000000000e+00,4.582571467672306653e+01,9.875726831905780045e-01
3.000000000000000000e+00,2.000000000000000000e+00,4.580146786302858430e+01,9.873945615737682591e-01
4.000000000000000000e+00,2.000000000000000000e+00,4.573135330076030414e+01,9.874728193997619474e-01
5.000000000000000000e+00,2.000000000000000000e+00,4.567886091246172953e+01,9.873768012919711401e-01
6.000000000000000000e+00,2.000000000000000000e+00,4.575965055182468433e+01,9.876707537680367022e-01
7.000000000000000000e+00,2.000000000000000000e+00,4.562923446766259161e+01,9.872561220820047501e-01
8.000000000000000000e+00,1.000000000000000000e+00,4.566169759864841637e+01,9.873241788800225516e-01
9.000000000000000000e+00,1.000000000000000000e+00,4.562016503656555244e+01,9.872611679417480079e-01
1.000000000000000000e+01,1.000000000000000000e+00,4.568210183437615513e+01,9.875801096548587621e-01
1.100000000000000000e+01,1.000000000000000000e+00,4.565752642345984214e+01,9.877109558615472240e-01
1.200000000000000000e+01,2.000000000000000000e+00,4.550704376333165868e+01,9.872803659048305924e-01
1.300000000000000000e+01,4.000000000000000000e+00,4.545273675894225107e+01,9.873630671300895889e-01
1.400000000000000000e+01,4.000000000000000000e+00,4.544248230304667402e+01,9.872455526809602588e-01
1.500000000000000000e+01,3.000000000000000000e+00,4.543455402271459320e+01,9.872946249461959090e-01
1.600000000000000000e+01,3.000000000000000000e+00,4.542204574436478737e+01,9.873436954392521558e-01
1.700000000000000000e+01,2.000000000000000000e+00,4.543754847410681208e+01,9.874527700201337632e-01
1.800000000000000000e+01,2.000000000000000000e+00,4.543883902816175890e+01,9.874571824396419784e-01
1.900000000000000000e+01,1.000000000000000000e+00,4.549026505925745312e+01,9.875523669462331622e-01
2.000000000000000000e+01,1.000000000000000000e+00,4.556360375641940408e+01,9.877092182879990689e-01
2.100000000000000000e+01,1.000000000000000000e+00,4.573409086285586511e+01,9.881129575975423629e-01
2.200000000000000000e+01,2.000000000000000000e+00,4.540762781401765835e+01,9.869920575451931466e-01
2.300000000000000000e+01,2.000000000000000000e+00,4.529743255171254646e+01,9.866320329365082520e-01
2.400000000000000000e+01,2.000000000000000000e+00,4.527229442071703147e+01,9.866186115098382059e-01
2.500000000000000000e+01,2.000000000000000000e+00,4.534697596674661924e+01,9.869804432223212576e-01
2.600000000000000000e+01,2.000000000000000000e+00,4.539592699211249283e+01,9.873337425430988024e-01
2.700000000000000000e+01,1.000000000000000000e+00,4.559051517901215789e+01,9.879806290932301449e-01
2.800000000000000000e+01,1.000000000000000000e+00,4.567396756271705982e+01,9.882352160939049668e-01
2.900000000000000000e+01,1.000000000000000000e+00,4.572738566671210947e+01,9.883673528826265597e-01
3.000000000000000000e+01,1.000000000000000000e+00,4.558338443379379612e+01,9.880105470954818614e-01
3.100000000000000000e+01,1.000000000000000000e+00,4.555301348534197814e+01,9.876427143716116630e-01
3.200000000000000000e+01,2.000000000000000000e+00,4.549951103410730013e+01,9.875125379723385111e-01
3.300000000000000000e+01,1.000000000000000000e+00,4.559254445306607550e+01,9.876166203220994033e-01
3.400000000000000000e+01,1.000000000000000000e+00,4.563550030112808287e+01,9.877465098398894305e-01
3.500000000000000000e+01,1.000000000000000000e+00,4.553480751172273955e+01,9.874465672467125366e-01
3.600000000000000000e+01,1.000000000000000000e+00,4.555504898188824825e+01,9.873926659211949008e-01
3.700000000000000000e+01,1.000000000000000000e+00,4.558529117856150492e+01,9.874167039636200238e-01
3.800000000000000000e+01,1.000000000000000000e+00,4.559223403207891323e+01,9.873164587480830479e-01
3.900000000000000000e+01,1.000000000000000000e+00,4.567591450414299459e+01,9.875645506844048516e-01
4.000000000000000000e+01,1.000000000000000000e+00,4.573012072817633111e+01,9.876435252344886173e-01
4.100000000000000000e+01,2.000000000000000000e+00,4.569778008806846969e+01,9.875124833557079596e-01
4.200000000000000000e+01,2.000000000000000000e+00,4.560359076794395605e+01,9.873306747028651742e-01
4.300000000000000000e+01,1.000000000000000000e+00,4.569956640691802363e+01,9.876337896268946315e-01
4.400000000000000000e+01,1.000000000000000000e+00,4.573019467266735916e+01,9.876828776210734295e-01
4.500000000000000000e+01,1.000000000000000000e+00,4.572411078775544269e+01,9.877200853658110180e-01
4.600000000000000000e+01,1.000000000000000000e+00,4.573330147872036378e+01,9.877853526635702597e-01
4.700000000000000000e+01,2.000000000000000000e+00,4.562273719480017320e+01,9.873269756121622054e-01
4.800000000000000000e+01,3.000000000000000000e+00,4.550755889898945838e+01,9.869219517555563037e-01
4.900000000000000000e+01,2.000000000000000000e+00,4.546783912422043983e+01,9.870378103464579889e-01
5.000000000000000000e+01,1.000000000000000000e+00,4.567640137590716165e+01,9.877215322319369273e-01
5.100000000000000000e+01,1.000000000000000000e+00,4.575201390541244706e+01,9.882542278065313823e-01
5.200000000000000000e+01,1.000000000000000000e+00,4.581942011481253019e+01,9.885276810828486083e-01
5.300000000000000000e+01,2.000000000000000000e+00,4.580919204423862823e+01,9.886339219493215369e-01
5.400000000000000000e+01,2.000000000000000000e+00,4.554875622927915657e+01,9.881657204448286436e-01
5.500000000000000000e+01,2.000000000000000000e+00,4.550856593150926699e+01,9.880647407877213295e-01
5.600000000000000000e+01,1.000000000000000000e+00,4.563634446950931078e+01,9.883765474512001825e-01
5.700000000000000000e+01,1.000000000000000000e+00,4.539935170353103899e+01,9.876609901768655941e-01
5.800000000000000000e+01,2.000000000000000000e+00,4.530064647297349723e+01,9.871342963162852424e-01
5.900000000000000000e+01,2.000000000000000000e+00,4.529152425251650982e+01,9.870116052146007402e-01
6.000000000000000000e+01,2.000000000000000000e+00,4.534681800332306523e+01,9.872271274288718645e-01
6.100000000000000000e+01,1.000000000000000000e+00,4.546756069165049752e+01,9.875506704362838617e-01
6.200000000000000000e+01,1.000000000000000000e+00,4.556858798162365787e+01,9.878524850810096458e-01
6.300000000000000000e+01,1.000000000000000000e+00,4.558305083951143644e+01,9.877292539786682868e-01
6.400000000000000000e+01,1.000000000000000000e+00,4.565086570530774424e+01,9.877841134557296954e-01
6.500000000000000000e+01,1.000000000000000000e+00,4.563005333227933136e+01,9.875438071876582180e-01
6.600000000000000000e+01,1.000000000000000000e+00,4.565023649293101471e+01,9.875812688649384663e-01
6.700000000000000000e+01,1.000000000000000000e+00,4.550547531739450591e+01,9.872333147445002677e-01
6.800000000000000000e+01,1.000000000000000000e+00,4.561015534312136310e+01,9.874500543431388166e-01
6.900000000000000000e+01,1.000000000000000000e+00,4.564607630576937680e+01,9.873929013783753206e-01
7.000000000000000000e+01,2.000000000000000000e+00,4.562372319198353665e+01,9.872295744343033697e-01
7.100000000000000000e+01,3.000000000000000000e+00,4.564298293682043806e+01,9.870663943154245334e-01
7.200000000000000000e+01,3.000000000000000000e+00,4.568202870420651607e+01,9.869231702914206261e-01
7.300000000000000000e+01,2.000000000000000000e+00,4.569499196303609523e+01,9.867685133846455514e-01
7.400000000000000000e+01,1.000000000000000000e+00,4.577180261938071482e+01,9.870601618591254844e-01
7.500000000000000000e+01,2.000000000000000000e+00,4.576896658100729098e+01,9.871742416792225194e-01
7.600000000000000000e+01,2.000000000000000000e+00,4.565922351134489077e+01,9.869582185590604073e-01
7.700000000000000000e+01,3.000000000000000000e+00,4.552320595513506873e+01,9.865112683871144483e-01
7.800000000000000000e+01,4.000000000000000000e+00,4.540248196806398084e+01,9.863087046544831704e-01
7.900000000000000000e+01,4.000000000000000000e+00,4.540431090371907885e+01,9.866661554322538885e-01
8.000000000000000000e+01,3.000000000000000000e+00,4.542032407976029162e+01,9.870844424622442492e-01
8.100000000000000000e+01,3.000000000000000000e+00,4.559813582832826739e+01,9.877128428322839993e-01
8.200000000000000000e+01,3.000000000000000000e+00,4.549294810014231416e+01,9.876745403503209841e-01
8.300000000000000000e+01,3.000000000000000000e+00,4.545910021871557660e+01,9.876653004305876449e-01
8.400000000000000000e+01,3.000000000000000000e+00,4.535687140844800069e+01,9.873909634225549459e-01
8.500000000000000000e+01,3.000000000000000000e+00,4.537121231143444788e+01,9.876759467529249159e-01
8.600000000000000000e+01,2.000000000000000000e+00,4.538667096435357706e+01,9.876581083955267015e-01
8.700000000000000000e+01,2.000000000000000000e+00,4.547771180698695304e+01,9.878361137829470007e-01
8.800000000000000000e+01,2.000000000000000000e+00,4.537221091390459549e+01,9.873301388868712669e-01
8.900000000000000000e+01,3.000000000000000000e+00,4.527009897017134676e+01,9.867657225628487794e-01
9.000000000000000000e+01,4.000000000000000000e+00,4.529716483226855672e+01,9.864652480470120777e-01
9.100000000000000000e+01,4.000000000000000000e+00,4.526345285897816950e+01,9.863028442619714564e-01
9.200000000000000000e+01,5.000000000000000000e+00,4.530851275231278663e+01,9.860821528102169387e-01
9.300000000000000000e+01,5.000000000000000000e+00,4.530951941256344639e+01,9.860175378521491840e-01
9.400000000000000000e+01,5.000000000000000000e+00,4.541523194896625881e+01,9.863824930828036797e-01
9.500000000000000000e+01,3.000000000000000000e+00,4.541674520212837507e+01,9.866967033477552773e-01
9.600000000000000000e+01,2.000000000000000000e+00,4.554582587869832366e+01,9.872103806620073918e-01
9.700000000000000000e+01,1.000000000000000000e+00,4.567416221758773531e+01,9.875348573486104620e-01
9.800000000000000000e+01,1.000000000000000000e+00,4.578488727911330614e+01,9.878052842612026208e-01
9.900000000000000000e+01,1.000000000000000000e+00,4.582763003323893969e+01,9.879384569706199937e-01
1.000000000000000000e+02,1.000000000000000000e+00,4.586761637888936605e+01,9.881622011842349229e-01
1.010000000000000000e+02,1.000000000000000000e+00,4.588574254814891162e+01,9.881896947180854873e-01
1.020000000000000000e+02,1.000000000000000000e+00,4.585884816676734488e+01,9.881497643861628655e-01
1.030000000000000000e+02,1.000000000000000000e+00,4.584553910941774291e+01,9.879994332418604586e-01
1.040000000000000000e+02,1.000000000000000000e+00,4.592096124937658885e+01,9.879996158781413351e-01
1.050000000000000000e+02,1.000000000000000000e+00,4.593163701287114975e+01,9.882014191049620644e-01
1.060000000000000000e+02,1.000000000000000000e+00,4.596348454518131632e+01,9.882431477061146552e-01
1.070000000000000000e+02,1.000000000000000000e+00,4.605460569405906313e+01,9.885831423974078547e-01
1.080000000000000000e+02,1.000000000000000000e+00,4.597997928386366340e+01,9.884708528439609676e-01
1.090000000000000000e+02,1.000000000000000000e+00,4.586682778628343016e+01,9.882240089566963759e-01
1.100000000000000000e+02,1.000000000000000000e+00,4.589144331033111968e+01,9.881980607903255720e-01
1.110000000000000000e+02,1.000000000000000000e+00,4.587747313808830540e+01,9.879985246063371918e-01
1.120000000000000000e+02,1.000000000000000000e+00,4.586983029102363218e+01,9.880297033836102916e-01
1.130000000000000000e+02,1.000000000000000000e+00,4.590699864487853432e+01,9.880684421690740793e-01
1.140000000000000000e+02,1.000000000000000000e+00,4.588145274041660571e+01,9.879624640404216507e-01
1.150000000000000000e+02,1.000000000000000000e+00,4.586965211840634993e+01,9.880291533341801768e-01
1.160000000000000000e+02,1.000000000000000000e+00,4.588505282892356973e+01,9.880676806765341658e-01
1.170000000000000000e+02,1.000000000000000000e+00,4.594824425915506083e+01,9.881142068780370824e-01
1.180000000000000000e+02,1.000000000000000000e+00,4.586718390714829496e+01,9.879213396890117460e-01
1.190000000000000000e+02,1.000000000000000000e+00,4.590884746048119069e+01,9.879485435859474141e-01
1.200000000000000000e+02,1.000000000000000000e+00,4.584553910941774291e+01,9.877162305357574112e-01
1.210000000000000000e+02,1.000000000000000000e+00,4.585707126750162388e+01,9.877418344957252794e-01
1.220000000000000000e+02,1.000000000000000000e+00,4.576881736711921178e+01,9.874692251438884627e-01
1.230000000000000000e+02,1.000000000000000000e+00,4.576012208367346545e+01,9.875662092442575313e-01
1.240000000000000000e+02,1.000000000000000000e+00,4.580557902867460029e+01,9.877186728775718683e-01
1.250000000000000000e+02,1.000000000000000000e+00,4.572076459106170176e+01,9.877091656505797568e-01
1.260000000000000000e+02,1.000000000000000000e+00,4.567795973244115260e+01,9.878874277106205470e-01
1.270000000000000000e+02,1.000000000000000000e+00,4.563593442437284864e+01,9.879400439980443593e-01
1.280000000000000000e+02,1.000000000000000000e+00,4.562733240758265651e+01,9.882009953413644077e-01
1.290000000000000000e+02,1.000000000000000000e+00,4.563629622689554566e+01,9.883832619206333048e-01
1.300000000000000000e+02,1.000000000000000000e+00,4.561524132101904172e+01,9.884965192685113422e-01
1.310000000000000000e+02,1.000000000000000000e+00,4.563800916793625362e+01,9.885872854943313914e-01
1.320000000000000000e+02,2.000000000000000000e+00,4.551975265716684049e+01,9.883701151428523346e-01
1.330000000000000000e+02,2.000000000000000000e+00,4.544375124911582020e+01,9.883731628359979648e-01
